GUN,MagazineRelease,TriggerLength,TriggerPull,MSRP,PalmWidth,LeftHanded,Laser,safety,caliber,GunWeightUnloaded,Semi,Recoil,HomeDefense ,SlideWeight,AccessoryRail,Image Links,gunID,Manufacturer,Price,FrameMaterial,ActionType,FinishOptions,Link
S&W M&P 9 compact,3,3,2,3,3,yes,yes,no,9,2,yes,3,yes,3,yes,https://snwcdnprod.azureedge.net/sites/default/files/styles/product_main/public/firearms/images/209304_01_lg_2.jpg?itok=BRcuVl86,38,Smith and Wesson,569,Polymer,Striker Fire,Black,
S&W M&P 9 Full size,3,3,2,2,3,yes,no,yes,9,1,yes,4,yes,3,yes,https://www.sportsmansoutdoorsuperstore.com/prodimages/26309-DEFAULT-l.jpg,39,Smith and Wesson,#N/A,#N/A,#N/A,#N/A,
S&W Shield 9,3,3,3,2,3,yes,yes,yes,9,2,yes,3,yes,4,no,https://thewellarmedwoman.com/wp-content/uploads/2017/05/SW-MP-Shield-e1556564906493.jpg,40,Smith and Wesson,#N/A,#N/A,#N/A,#N/A,
S&W Shield EZ,2,2,1,2,2,yes,yes,yes,380,1,yes,2,no,1,yes,https://thewellarmedwoman.com/wp-content/uploads/2018/02/ShieldEZ-e1530803908930.jpg,41,Smith and Wesson,#N/A,#N/A,#N/A,#N/A,
SCCY CPX1,3,3,3,1,3,no,no,yes,9,3,yes,2,no,3,no,https://www.sccy.com/wp-content/uploads/2017/05/SCCY-Products-CPX-1-BB-3Q-1.jpg,42,Sccy Industries,334,Polymer,Double Action Only,Black,
SCCY CPX2,3,3,3,1,3,no,no,no,9,3,yes,2,no,3,no,https://www.sccy.com/wp-content/uploads/2016/02/CPX-2_BS_3Q-web.jpg,43,Sccy Industries,314,Polymer,Double Action Only,Black,
Sig Sauer 1911 Carry Nightmare,4,4,1,5,4,no,no,yes,9,1,yes,4,yes,3,no,https://www.sigsauer.com/store/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/1/9/1911fca-45-nmr.jpg,44,Sig Sauer,#N/A,#N/A,#N/A,#N/A,
Sig Sauer 1911 Ultra,4,4,1,4,4,no,no,yes,9,1,yes,4,yes,3,no,https://www.sigsauer.com/store/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/1/9/1911_ultra_twotone_l_sm-f.jpg,45,Sig Sauer,#N/A,#N/A,#N/A,#N/A,
Sig Sauer P238,2,2,1,3,2,no,no,yes,380,1,yes,2,no,1,no,https://thewellarmedwoman.com/wp-content/uploads/2016/09/p238-1-e1492053754897.jpg,46,Sig Sauer,#N/A,#N/A,#N/A,#N/A,
Sig Sauer P320 Subcompact (medium grips),4,4,3,3,4,yes,no,no,9,2,yes,3,yes,4,yes,,47,Sig Sauer,#N/A,#N/A,#N/A,#N/A,
Sig Sauer P365,2,2,2,2,2,yes,no,no,9,2,yes,2,yes,2,no,https://thewellarmedwoman.com/wp-content/uploads/2019/02/365-product-on-white-7_1_1.jpg,48,Sig Sauer,#N/A,#N/A,#N/A,#N/A,
Sig Sauer P938,2,2,3,3,2,yes,no,yes,9,2,yes,2,no,2,no,https://thewellarmedwoman.com/wp-content/uploads/2016/07/sig-p938-e1530803026448.jpg,49,Sig Sauer,799,Alloy,Single Action Only,"Black, Stainess, Two-Toned",
Springfield 1911 Range Officer,4,4,1,4,4,no,no,yes,9,1,yes,4,yes,2,yes,https://www.springfield-armory.com/wp-content/uploads/2014/03/PI9129LP_1200x782.png,50,Springfield Armory,720,Alloy,Single Action Only,Blued,
Springfield 911 .380,2,2,1,3,2,yes,yes,yes,380,1,yes,1,no,1,no,https://thewellarmedwoman.com/wp-content/uploads/2019/02/Springfield-911-380.jpg,51,Springfield Armory,#N/A,#N/A,#N/A,#N/A,
Springfield 911 9,2,2,2,3,2,null,yes,yes,9,1,yes,2,no,2,no,https://www.springfield-armory.com/wp-content/uploads/2019/01/PG9119-WEB-Featured-1.png,52,Springfield Armory,#N/A,#N/A,#N/A,#N/A,
Springfield EMP 1911,4,4,2,3,4,yes,no,yes,9,1,yes,4,yes,3,no,https://www.springfield-armory.com/wp-content/uploads/2014/03/PI9209LP_1200x7821.png,53,Springfield Armory,1199.99,Alloy,Single Action Only,Two-Toned,
"Springfield XD(M) 3.8"" 9m  Compact",3,3,1,3,3,yes,no,no,9,2,yes,4,yes,4,yes,https://www.springfield-armory.com/wp-content/uploads/2014/03/XDM9389CBHCE.png,54,Springfield Armory,649.99,Polymer,Striker Fire,Black,
"Springfield XD(M) 4.5"" 45 Full size",3,3,1,3,3,yes,no,no,45,3,yes,4,yes,4,yes,https://www.springfield-armory.com/wp-content/uploads/2014/03/XDM94545BHCE.png,55,Springfield Armory,#N/A,#N/A,#N/A,#N/A,
"Springfield XD(M) 4.5"" 9mm Full size",3,3,1,3,3,yes,no,no,9,2,yes,4,yes,4,yes,https://www.springfield-armory.com/wp-content/uploads/2014/03/XDM9201HCE.png,56,Springfield Armory,#N/A,#N/A,#N/A,#N/A,
Springfield XD(s) 3.3 45,2,2,3,2,2,yes,no,no,45,4,yes,3,yes,4,yes,https://www.springfield-armory.com/wp-content/uploads/2014/02/XDSG93345B-Featured.png,57,Springfield Armory,599,Polymer,Striker Fire,"Black, Black / Stainless",
Springfield XD(s) 3.3 9mm,2,2,3,3,2,yes,no,no,9,3,yes,3,no,3,yes,https://www.springfield-armory.com/wp-content/uploads/2014/03/XDS9339B_1200x7821.png,58,Springfield Armory,599,Polymer,Striker Fire,"Black, Black / Stainless",
Walther CCP,3,3,2,2,3,no,no,yes,9,2,yes,3,yes,2,yes,https://thewellarmedwoman.com/wp-content/uploads/2018/11/walther-ccp-m2.jpg,59,Walther,489,Polymer,Striker Fire,"stainless, Cerakote black",
Walther creed,3,3,2,2,3,no,no,no,9,3,yes,4,yes,3,yes,https://www.waltherarms.com/wp-content/uploads/Creed_ls-1024x798.jpg,60,Walther,#N/A,#N/A,#N/A,#N/A,
Walther P22,2,2,1,2,2,yes,no,yes,22,1,yes,2,no,1,yes,https://thewellarmedwoman.com/wp-content/uploads/2017/03/gun-review-smith-wesson-MP22-compact.jpg,61,Walther,319,Steel,Single Action/Double Action,black or nickel,
Walther PK380,2,2,4,2,2,yes,no,yes,380,4,yes,2,no,1,yes,https://thewellarmedwoman.com/wp-content/uploads/2018/08/Walther_PK380.jpg,62,Walther,419.99,Steel,Single Action/Double Action,"Black, Nickel",
Walther PPQ M2,3,3,2,2,3,no,no,no,9,1,yes,3,yes,3,yes,https://thewellarmedwoman.com/wp-content/uploads/2016/09/ppq-e1492054592575.jpg,63,Walther,#N/A,#N/A,#N/A,#N/A,
Walther PPS,3,3,2,2,3,no,no,no,9,2,yes,2,no,4,yes,https://thewellarmedwoman.com/wp-content/uploads/2016/09/pps-e1530808452208.jpg,64,Walther,662,Polymer,Striker Fire,Black,
Ruger LCR .22,2,2,2,2,,no,no,no,22,2,no,1,no,null,no,https://thewellarmedwoman.com/wp-content/uploads/2016/07/gun-review-lcr-22-nancy.jpg,65,Ruger,#N/A,#N/A,#N/A,#N/A,
S&W M&P 45,3,3,3,2,,no,yes,yes,45,2,yes,4,yes,3,no,https://snwcdnprod.azureedge.net/sites/default/files/styles/product_main/public/firearms/images/109306_01_lg_2.jpg?itok=1IDBLRx2,66,Smith and Wesson,#N/A,#N/A,#N/A,#N/A,
Kimber Ultra Carry 45,4,4,1,4,4,no,no,yes,9,1,yes,3,yes,4,no,https://www.kimberamerica.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/l/ultracarryiitt_532x495_1.png,67,Kimber,#N/A,#N/A,#N/A,#N/A,
S&W M&P Shield 45,3,3,3,2,,no,no,yes,45,2,yes,3,yes,4,no,https://snwcdnprod.azureedge.net/sites/default/files/styles/product_main/public/firearms/images/180022_01_lg_10.jpg?itok=j874YMsD,68,Smith and Wesson,#N/A,#N/A,#N/A,#N/A,
S&W M&P 22 Compact,2,3,1,2,,Yes,No,Yes,22,1,Yes,1,No,1,Yes,https://thewellarmedwoman.com/wp-content/uploads/2017/03/gun-review-smith-wesson-MP22-compact.jpg,69,Smith and Wesson,#N/A,#N/A,#N/A,#N/A,
